service_id,date,exception_type
MT,20150607,2
MT,20150608,1
MT,20150609,1
MT,20150610,1
MT,20150611,1
MT,20150612,2
MT,20150613,2
MT,20150614,2
MT,20150615,1
MT,20150616,1
MT,20150617,1
MT,20150618,1
MT,20150619,2
MT,20150620,2
MT,20150621,2
MT,20150622,1
MT,20150623,1
MT,20150624,1
MT,20150625,1
MT,20150626,2
MT,20150627,2
MT,20150628,2
MT,20150629,1
MT,20150630,1
MT,20150701,1
MT,20150702,1
MT,20150703,2
MT,20150704,2
MT,20150705,2
MT,20150706,1
MT,20150707,1
MT,20150708,1
MT,20150709,1
MT,20150710,2
MT,20150711,2
MT,20150712,2
MT,20150713,1
MT,20150714,1
MT,20150715,1
MT,20150716,1
MT,20150717,2
MT,20150718,2
MT,20150719,2
MT,20150720,1
MT,20150721,1
MT,20150722,1
MT,20150723,1
MT,20150724,2
MT,20150725,2
MT,20150726,2
MT,20150727,1
MT,20150728,1
MT,20150729,1
MT,20150730,1
MT,20150731,2
MT,20150801,2
MT,20150802,2
MT,20150803,1
MT,20150804,1
MT,20150805,1
MT,20150806,1
MT,20150807,2
MT,20150808,2
MT,20150809,2
MT,20150810,1
MT,20150811,1
MT,20150812,1
MT,20150813,1
MT,20150814,2
MT,20150815,2
SA,20150510,2
SA,20150511,2
SA,20150512,2
SA,20150513,2
SA,20150514,2
SA,20150515,2
SA,20150516,1
SA,20150517,2
SA,20150518,2
SA,20150519,2
SA,20150520,2
SA,20150521,2
SA,20150522,2
SA,20150523,1
SA,20150524,2
SA,20150525,2
SA,20150526,2
SA,20150527,2
SA,20150528,2
SA,20150529,2
SA,20150530,1
SA,20150531,2
SA,20150601,2
SA,20150602,2
SA,20150603,2
SA,20150604,2
SA,20150605,2
SA,20150606,1
SA,20150607,2
SA,20150608,2
SA,20150609,2
SA,20150610,2
SA,20150611,2
SA,20150612,2
SA,20150613,1
SA,20150614,2
SA,20150615,2
SA,20150616,2
SA,20150617,2
SA,20150618,2
SA,20150619,2
SA,20150620,1
SA,20150621,2
SA,20150622,2
SA,20150623,2
SA,20150624,2
SA,20150625,2
SA,20150626,2
SA,20150627,1
SA,20150628,2
SA,20150629,2
SA,20150630,2
SA,20150701,2
SA,20150702,2
SA,20150703,1
SA,20150704,1
SA,20150705,2
SA,20150706,2
SA,20150707,2
SA,20150708,2
SA,20150709,2
SA,20150710,2
SA,20150711,1
SA,20150712,2
SA,20150713,2
SA,20150714,2
SA,20150715,2
SA,20150716,2
SA,20150717,2
SA,20150718,1
SA,20150719,2
SA,20150720,2
SA,20150721,2
SA,20150722,2
SA,20150723,2
SA,20150724,2
SA,20150725,1
SA,20150726,2
SA,20150727,2
SA,20150728,2
SA,20150729,2
SA,20150730,2
SA,20150731,2
SA,20150801,1
SA,20150802,2
SA,20150803,2
SA,20150804,2
SA,20150805,2
SA,20150806,2
SA,20150807,2
SA,20150808,1
SA,20150809,2
SA,20150810,2
SA,20150811,2
SA,20150812,2
SA,20150813,2
SA,20150814,2
SA,20150815,1
SU,20150510,1
SU,20150511,2
SU,20150512,2
SU,20150513,2
SU,20150514,2
SU,20150515,2
SU,20150516,2
SU,20150517,1
SU,20150518,2
SU,20150519,2
SU,20150520,2
SU,20150521,2
SU,20150522,2
SU,20150523,2
SU,20150524,1
SU,20150525,1
SU,20150526,2
SU,20150527,2
SU,20150528,2
SU,20150529,2
SU,20150530,2
SU,20150531,1
SU,20150601,2
SU,20150602,2
SU,20150603,2
SU,20150604,2
SU,20150605,2
SU,20150606,2
SU,20150607,1
SU,20150608,2
SU,20150609,2
SU,20150610,2
SU,20150611,2
SU,20150612,2
SU,20150613,2
SU,20150614,1
SU,20150615,2
SU,20150616,2
SU,20150617,2
SU,20150618,2
SU,20150619,2
SU,20150620,2
SU,20150621,1
SU,20150622,2
SU,20150623,2
SU,20150624,2
SU,20150625,2
SU,20150626,2
SU,20150627,2
SU,20150628,1
SU,20150629,2
SU,20150630,2
SU,20150701,2
SU,20150702,2
SU,20150703,2
SU,20150704,2
SU,20150705,1
SU,20150706,2
SU,20150707,2
SU,20150708,2
SU,20150709,2
SU,20150710,2
SU,20150711,2
